brain	heart	kidney	liver
MGP_PahariEiJ_G0008980	0.413985	0	0	0
MGP_PahariEiJ_G0008983	0.5921369	0	0	0
MGP_PahariEiJ_G0008985	0	0	0.965242	0
MGP_PahariEiJ_G0008988	0	0	0.7819774	0
MGP_PahariEiJ_G0008989	0	0	1.132294	0
MGP_PahariEiJ_G0008990	4.127922	3.496667	3.776567	3.592888
MGP_PahariEiJ_G0008992	0	0	1.072222	0
MGP_PahariEiJ_G0008993	0.2740577	0	0	0
MGP_PahariEiJ_G0008994	0.3895668	0.727849	1.767286	0.2662096
MGP_PahariEiJ_G0008997	0	0.3488182	0	0
MGP_PahariEiJ_G0008999	1.503349	0	0	0
MGP_PahariEiJ_G0009000	0	0.9245803	1.388206	0
MGP_PahariEiJ_G0009001	0.546972	0	1.47049	0.2037236
MGP_PahariEiJ_G0009007	0	0	0.5014055	0
MGP_PahariEiJ_G0009009	0.7155323	0	0	0
MGP_PahariEiJ_G0009011	0	0	2.512763	0
MGP_PahariEiJ_G0009016	0	0	0.7278935	0.4216806
MGP_PahariEiJ_G0009018	1.426431	0.3787402	0.6232132	1.058891
MGP_PahariEiJ_G0009020	0.200724	0	0.46821	0
MGP_PahariEiJ_G0009021	0	0	0	2.095884
MGP_PahariEiJ_G0009022	2.537597	0	3.793688	2.068843
MGP_PahariEiJ_G0009024	0	0	0.3653611	0
MGP_PahariEiJ_G0009026	0	0.7184708	1.472696	1.485015
MGP_PahariEiJ_G0009028	0	0	0.6979295	0
MGP_PahariEiJ_G0009031	2.772563	1.658184	2.299233	0
MGP_PahariEiJ_G0009033	1.173345	1.238603	2.263987	0.4302874
MGP_PahariEiJ_G0009034	0.5382342	0.9734394	1.539199	2.339254
MGP_PahariEiJ_G0009036	2.491766	2.02219	1.79871	1.002299
MGP_PahariEiJ_G0009037	4.914536	0	1.941504	0.6863768
MGP_PahariEiJ_G0009039	0.3566374	0.6713233	0	0
MGP_PahariEiJ_G0009040	1.057582	0.6290805	2.501811	0.1381644
MGP_PahariEiJ_G0009041	3.011306	1.415997	2.378706	3.358348
MGP_PahariEiJ_G0009043	0.5721456	1.442758	0.7091274	0.4070101
MGP_PahariEiJ_G0009045	5.168554	4.479276	4.845003	4.577701
MGP_PahariEiJ_G0009046	2.976651	1.406401	2.574736	0
MGP_PahariEiJ_G0009047	5.799398	4.50749	5.646482	5.012461
MGP_PahariEiJ_G0009048	3.440163	2.363328	4.176554	0.617952
MGP_PahariEiJ_G0009050	7.759489	6.098716	6.251615	6.821595
MGP_PahariEiJ_G0009053	1.303009	0	0	0
MGP_PahariEiJ_G0009054	0	0.9474365	0	0
MGP_PahariEiJ_G0009056	0.3065294	0.4197223	2.01423	0.3877871
MGP_PahariEiJ_G0009057	1.362958	0	1.227895	0.7645865
MGP_PahariEiJ_G0009058	0	0	0.1714246	0
MGP_PahariEiJ_G0009059	2.772563	0	0	0
MGP_PahariEiJ_G0009062	3.226858	1.56095	2.847546	1.975858
MGP_PahariEiJ_G0009065	0.5937486	0	0.7371226	0.4260242
MGP_PahariEiJ_G0009066	0.6770211	0	0.4733173	0
MGP_PahariEiJ_G0009068	0.9536742	0.7462663	1.151599	0
MGP_PahariEiJ_G0009070	0.6112083	0	0.6319713	0
MGP_PahariEiJ_G0009071	4.725687e-05	0.3562813	1.331389e-05	0.09118501
MGP_PahariEiJ_G0009072	0	0	0	1.528261
