liver	ovary	testis
ENSAMEG00000000537	NA	0.9514035	1.212762
ENSAMEG00000000538	NA	6.083188	6.135092
ENSAMEG00000000539	NA	0	0.4172363
ENSAMEG00000000540	NA	3.986038	3.288376
ENSAMEG00000000541	NA	3.761402	1.210563
ENSAMEG00000000542	NA	4.030371	5.089413
ENSAMEG00000000543	NA	3.665188	3.049265
ENSAMEG00000000544	NA	3.480692	3.018607
ENSAMEG00000000545	NA	3.511253	2.84113
ENSAMEG00000000547	NA	0.6322524	1.695393
ENSAMEG00000000548	NA	2.934267	1.676037
ENSAMEG00000000549	NA	2.396905	3.506297
ENSAMEG00000000550	NA	1.105564	5.078119
ENSAMEG00000000551	NA	0.1693953	0.1260426
ENSAMEG00000000552	NA	2.294262	1.697645
ENSAMEG00000000553	NA	0.1371869	0.1581793
ENSAMEG00000000554	NA	3.265612	2.47726
ENSAMEG00000000555	NA	0.1361825	0
ENSAMEG00000000556	NA	1.176314	0.4346885
ENSAMEG00000000557	NA	0.1588605	0.0476026
ENSAMEG00000000558	NA	2.528311	2.116398
ENSAMEG00000000559	NA	0	0.3071359
ENSAMEG00000000560	NA	1.430173	6.022925
ENSAMEG00000000561	NA	6.092453	4.802907
ENSAMEG00000000562	NA	0	0.0814933
ENSAMEG00000000563	NA	11.32105	9.755408
ENSAMEG00000000564	NA	4.490211	2.376074
ENSAMEG00000000565	NA	1.29168	1.118898
ENSAMEG00000000566	NA	0	2.163946
ENSAMEG00000000567	NA	1.096336	0.3509928
ENSAMEG00000000568	NA	0.2439457	0.05622489
ENSAMEG00000000569	NA	3.380804	3.259892
ENSAMEG00000000570	NA	4.240391	4.224264
ENSAMEG00000000571	NA	6.774141	6.62028
ENSAMEG00000000572	NA	0.1215689	0.2456818
ENSAMEG00000000573	NA	2.862791	1.296746
ENSAMEG00000000574	NA	4.152346	3.472267
ENSAMEG00000000575	NA	4.28993	4.581815
ENSAMEG00000000576	NA	0.5969037	1.40615
ENSAMEG00000000577	NA	4.216928	2.594451
ENSAMEG00000000578	NA	0.9692806	0.6248748
ENSAMEG00000000579	NA	0.9569614	0.3585099
ENSAMEG00000000580	NA	4.18551	5.74801
ENSAMEG00000000581	NA	3.385381	1.540826
ENSAMEG00000000582	NA	3.790574	4.299816
ENSAMEG00000000583	NA	4.332615	4.342021
ENSAMEG00000000584	NA	1.606044	0.3432134
