brain	heart	kidney	liver
ENSRBIG00000002639	0.9872357	0	0.5178723	0.6099488
ENSRBIG00000002657	3.812775	1.122149	4.079344	2.168283
ENSRBIG00000002664	3.544176	3.074882	4.372019	2.79096
ENSRBIG00000002665	2.285181	0.5181604	1.900977	0.8314849
ENSRBIG00000002668	5.128265	2.468578	4.093777	2.308017
ENSRBIG00000002671	8.820607	7.52357	6.989627	7.52822
ENSRBIG00000002723	0.251278	0.2480344	6.130157	0.06306758
ENSRBIG00000002724	4.167486	4.203843	2.533693	1.150755
ENSRBIG00000002749	5.370419	5.88244	4.404842	4.074583
ENSRBIG00000002758	1.27382	0	0	0
ENSRBIG00000002770	0	0	0.2567462	6.83332
ENSRBIG00000002771	0	0.9923798	0.5796986	0.5346433
ENSRBIG00000002772	1.031988	0.4357726	4.199445	0.6699166
ENSRBIG00000002774	4.020661	0.2400102	0.746213	0.6341973
ENSRBIG00000002775	2.665841	2.678529	1.436467	1.196287
ENSRBIG00000002798	4.263819	4.164871	4.562934	4.086684
ENSRBIG00000002802	5.832518	4.289429	2.466591	1.93059
ENSRBIG00000002810	0.06375694	0	0.03424713	0
ENSRBIG00000002814	3.301065	3.623556	4.306601	1.440262
ENSRBIG00000002825	2.326546	4.398665	4.236429	5.240419
ENSRBIG00000002839	1.502553	7.107351	0.4047713	0.06245181
ENSRBIG00000002840	3.502984	1.179607	3.064783	2.308434
ENSRBIG00000002849	0	1.434556	0	0
ENSRBIG00000002872	0	1.044982	0.4447201	0
ENSRBIG00000002883	6.890422	6.79735	9.647541	7.155041
ENSRBIG00000002897	1.466236	0.5950778	0.6994672	0
ENSRBIG00000002898	1.826888	0.3220435	3.601803	3.187468
ENSRBIG00000002899	5.71943	3.342074	3.634093	3.144461
ENSRBIG00000002914	3.201196	1.452901	1.280208	0.8852682
ENSRBIG00000002923	4.367079	4.427896	5.672264	3.926733
ENSRBIG00000002925	4.933507	1.844607	5.12899	4.409228
ENSRBIG00000002926	0	3.543026	5.99225	4.271187
ENSRBIG00000002958	3.856966	2.281123	4.82273	3.63335
ENSRBIG00000002959	2.16504	3.533077	3.671407	1.635114
ENSRBIG00000002960	1.857002	4.990428	3.864701	1.886562
ENSRBIG00000002961	1.590477	3.749084	1.557415	2.179224
ENSRBIG00000002982	4.206008	2.32286	3.74845	2.640002
ENSRBIG00000002986	2.188697	1.684579	1.431658	1.807895
ENSRBIG00000003045	5.014976	4.198109	3.830718	2.684673
ENSRBIG00000003046	5.457186	7.809838	7.646839	6.899653
ENSRBIG00000003062	2.762032	6.718088	8.366737	6.717759
ENSRBIG00000003074	4.495414	5.508641	8.11573	4.549792
ENSRBIG00000003075	3.995374	1.316767	3.184064	2.462527
ENSRBIG00000003076	0	1.443829	0	0
ENSRBIG00000003077	2.066565	1.552712	2.39329	1.279204
ENSRBIG00000003078	0.5266257	0.1831015	0.1831219	5.844313
ENSRBIG00000003129	2.680043	2.38055	4.150648	6.031084
ENSRBIG00000003130	9.535382	8.471801	5.906612	4.161807
ENSRBIG00000003141	1.635631	0	0.1259189	0.2075922
ENSRBIG00000003143	0	0	0.7876197	0
ENSRBIG00000003144	1.535958	0.2619736	0.8060856	0.05039624
ENSRBIG00000003147	3.056173	0.8955221	1.038949	0
ENSRBIG00000003148	6.087856	5.143603	5.175981	4.794809
ENSRBIG00000003156	4.145978	0.421967	0.3583104	0.3259171
ENSRBIG00000003159	3.930927	2.232572	3.686859	3.500394
ENSRBIG00000003166	3.443331	1.688328	3.328797	3.391878
ENSRBIG00000003168	4.442851	3.80032	2.964391	2.93369
ENSRBIG00000003257	2.161504	1.378162	1.387092	1.135804
ENSRBIG00000003279	2.786387	2.983109	3.379004	2.104967
ENSRBIG00000003282	1.239447	3.527371	3.310699	2.147938
ENSRBIG00000003283	4.04491	0.4265246	3.303164	1.921931
ENSRBIG00000003284	7.263833	9.280014	10.33294	10.97847
ENSRBIG00000003285	8.501025	6.219277	8.115996	8.60878
ENSRBIG00000003296	6.15324	1.794291	2.698412	0
ENSRBIG00000003299	3.363254	3.463688	3.299508	2.008039
ENSRBIG00000003322	5.455537	2.353327	3.096068	2.201474
ENSRBIG00000003330	5.756885	1.800165	3.615769	2.232338
ENSRBIG00000003331	0.03026827	0	0.143315	0.02542603
ENSRBIG00000003332	5.707221	3.995248	7.333025	4.620841
ENSRBIG00000003357	1.871027	0.8392026	1.467822	0.7721906
ENSRBIG00000003360	0.5987959	0.6862262	0.6917762	0.5375654
ENSRBIG00000003367	3.387509	1.965633	3.827525	1.747263
ENSRBIG00000003368	5.215184	3.349909	2.434816	1.007948
ENSRBIG00000003410	3.201668	2.418856	3.029017	2.698022
ENSRBIG00000003411	1.416461	0	1.0913	0
ENSRBIG00000003437	0.5237346	0.5138606	1.554491	1.313571
ENSRBIG00000003438	6.559741	6.359179	5.516327	3.757866
ENSRBIG00000003451	2.565271	1.609802	2.51629	3.450917
ENSRBIG00000003469	7.324478	0	0	0.0559969
ENSRBIG00000003470	5.498133	5.962452	5.100868	4.137282
ENSRBIG00000003479	2.781905	3.093158	3.534535	5.123828
ENSRBIG00000003484	6.241461	6.084849	4.694859	4.575038
ENSRBIG00000003492	5.330691	1.865915	4.138954	3.21003
ENSRBIG00000003499	2.818973	2.091493	2.255395	1.321986
ENSRBIG00000003505	4.525007	0.7720351	3.492701	0.7829696
ENSRBIG00000003508	0	0	0.09103345	0.07658399
ENSRBIG00000003509	1.14419	2.35463	1.200285	0
ENSRBIG00000003510	4.455715	3.283134	3.82272	3.536886
ENSRBIG00000003511	5.441215	3.755764	3.307735	2.723423
ENSRBIG00000003521	0.7857422	0.8961222	0	0
ENSRBIG00000003533	2.35724	1.775485	1.64369	0.8674086
ENSRBIG00000003536	3.342451	2.788713	1.530914	0.2059054
ENSRBIG00000003566	8.270421	0.7141901	6.117248	4.345141
ENSRBIG00000003571	3.154791	0.5785668	3.370897	2.747738
ENSRBIG00000003572	7.557456	7.433711	6.557162	5.982396
ENSRBIG00000003573	5.061379	1.72806	3.504709	2.15082
ENSRBIG00000003596	6.444198	6.795484	5.508343	4.329774
ENSRBIG00000003620	5.383753	3.760327	3.637749	0.08496444
ENSRBIG00000003621	1.151313	0.4122753	0.6659557	2.421773
ENSRBIG00000003622	0	0.08322454	0	0
ENSRBIG00000003645	0	0	0	0.8977175
ENSRBIG00000003654	0.4442515	0.3808203	0.3209248	0
ENSRBIG00000003655	6.923828	4.152862	3.638129	1.520341
ENSRBIG00000003660	0.7954154	2.975216	2.927802	1.000202
ENSRBIG00000003663	2.828018	1.835528	1.873856	1.636455
ENSRBIG00000003677	0	0	0.9400389	0.8892321
ENSRBIG00000003704	2.593125	0.2326411	1.896155	1.648047
ENSRBIG00000003712	2.258145	2.400265	1.283649	1.459028
ENSRBIG00000003713	8.800013	3.754771	4.067476	5.435039
ENSRBIG00000003714	0	0.06368903	0.1508157	0.07935217
ENSRBIG00000003715	4.676973	4.469691	4.938047	2.983185
ENSRBIG00000003731	0	1.832789	0	0
ENSRBIG00000003755	0	0	0.9303657	0.9695266
ENSRBIG00000003770	5.400941	1.261182	4.750762	4.309496
ENSRBIG00000003771	1.306634	0.4165187	4.145904	2.194869
ENSRBIG00000003778	2.403516	3.294677	2.687663	5.662052
ENSRBIG00000003785	2.974039	2.695121	6.105625	4.372084
ENSRBIG00000003795	0.1327784	5.292774	0.09145003	0
ENSRBIG00000003805	0.05205622	0	2.369732	8.868713
ENSRBIG00000003807	4.490414	3.306883	2.790516	3.018649
ENSRBIG00000003809	7.071973	6.725955	6.943574	9.103406
ENSRBIG00000003848	0.1765628	0	0.7323534	0
ENSRBIG00000003858	0	0	0.3066204	0
ENSRBIG00000003860	1.009608	0.1412811	0.9664201	0.02829218
ENSRBIG00000003862	3.783458	1.936557	3.101359	1.947558
ENSRBIG00000003863	0.1652315	0	1.816514	0
ENSRBIG00000003876	1.13979	0.1001609	0.609737	0
ENSRBIG00000003878	2.792959	1.760911	1.678903	1.767778
ENSRBIG00000003891	4.664141	3.36656	3.514993	2.32904
ENSRBIG00000003924	3.11358	0.1572494	2.798131	0.6380924
ENSRBIG00000003937	1.054543	0.7048773	0.4921126	0.7797329
ENSRBIG00000003938	0.5829365	0	3.152712	0.3456541
ENSRBIG00000003945	5.738557	0	0.2187771	0.04207877
ENSRBIG00000003966	5.107935	4.430727	4.491231	2.982647
ENSRBIG00000003967	0.5472741	6.04357	2.487219	0.7568098
ENSRBIG00000003968	1.513016	2.257089	2.150137	0.4715465
ENSRBIG00000003969	0.634452	1.531668	1.055203	2.017779
ENSRBIG00000003979	5.773444	5.096013	5.124054	6.254153
ENSRBIG00000003983	4.809975	1.172942	2.144693	1.473054
ENSRBIG00000003992	2.740792	6.793324	8.809636	7.486055
ENSRBIG00000003994	0.4139136	0.2694078	0.1901036	0.1227223
ENSRBIG00000003997	3.980583	3.384902	3.590542	2.435146
