brain	liver	testis
ENSTBEG00000000407	0	0	NA
ENSTBEG00000000408	3.640313	0.483923925	NA
ENSTBEG00000000409	1.1139636	0.5571178	NA
ENSTBEG00000000410	0	0	NA
ENSTBEG00000000411	0.6418056	0.01192416	NA
ENSTBEG00000000412	0.619326855	0.165782725	NA
ENSTBEG00000000413	2.9284645	0.71597605	NA
ENSTBEG00000000414	0.1959416	0.0262398625	NA
ENSTBEG00000000415	1.340762	0.6751951	NA
ENSTBEG00000000416	0.148234	1.1748675	NA
ENSTBEG00000000417	2.9022705	2.199476	NA
ENSTBEG00000000418	8.9212985	9.76707175	NA
ENSTBEG00000000419	1.798323	1.99199325	NA
ENSTBEG00000000420	0	0.11505205	NA
ENSTBEG00000000421	0	0	NA
ENSTBEG00000000422	2.975968	2.56057625	NA
ENSTBEG00000000423	1.4256955	2.222975825	NA
ENSTBEG00000000424	5.972111	1.75139425	NA
ENSTBEG00000000425	3.897652	1.481806	NA
ENSTBEG00000000426	0.16628065	0	NA
ENSTBEG00000000427	0	0	NA
ENSTBEG00000000428	6.146367	3.78743525	NA
ENSTBEG00000000429	4.314933	1.559372	NA
ENSTBEG00000000430	6.0150545	7.1453325	NA
ENSTBEG00000000431	1.56190915	0.381860695	NA
ENSTBEG00000000432	0.1719273	0.04003385	NA
ENSTBEG00000000433	0.0561059	12.7050025	NA
ENSTBEG00000000434	8.191413	4.758909	NA
ENSTBEG00000000435	2.9408655	0.554545075	NA
ENSTBEG00000000436	0.5748737	0.53699635	NA
ENSTBEG00000000437	0	1.50611035	NA
ENSTBEG00000000438	2.630164	0.266169575	NA
ENSTBEG00000000439	4.299924	1.78408175	NA
ENSTBEG00000000440	6.0268535	2.19032175	NA
ENSTBEG00000000441	2.4652375	0.151955465	NA
ENSTBEG00000000442	0.7365359	0.214943775	NA
ENSTBEG00000000443	1.252104	3.671071	NA
ENSTBEG00000000444	4.802862	4.7050115	NA
ENSTBEG00000000445	0	0	NA
ENSTBEG00000000446	2.6655235	0.54569845	NA
ENSTBEG00000000447	1.923396	0.517301135	NA
ENSTBEG00000000448	0	0.24860455	NA
ENSTBEG00000000449	2.6676725	1.824388	NA
ENSTBEG00000000450	0	0	NA
ENSTBEG00000000451	7.92573	5.2340875	NA
ENSTBEG00000000452	3.0244625	3.02247125	NA
ENSTBEG00000000453	6.9299055	5.1451695	NA
ENSTBEG00000000454	4.341959	3.36175225	NA
ENSTBEG00000000455	0	0.151208875	NA
ENSTBEG00000000456	5.6981475	6.38004875	NA
ENSTBEG00000000457	0	0.01328882	NA
ENSTBEG00000000458	3.0728825	3.5775825	NA
ENSTBEG00000000459	2.1115785	1.075786925	NA
ENSTBEG00000000460	0	0	NA
ENSTBEG00000000461	4.768529	8.1768285	NA
ENSTBEG00000000462	0.486876	0.0439274025	NA
ENSTBEG00000000463	0.18768063	0.0593715275	NA
ENSTBEG00000000464	2.0679435	2.3759795	NA
ENSTBEG00000000465	0	5.901146	NA
ENSTBEG00000000466	0.19627355	0	NA
ENSTBEG00000000467	0.889572	0.511179525	NA
ENSTBEG00000000468	3.239524	2.893769	NA
ENSTBEG00000000469	8.6769685	3.76999225	NA
ENSTBEG00000000470	3.9406835	2.91154375	NA
ENSTBEG00000000471	0	0	NA
ENSTBEG00000000472	3.287068	1.49355775	NA
ENSTBEG00000000473	0	0	NA
ENSTBEG00000000474	0.20881475	0	NA
ENSTBEG00000000475	7.491635	7.04032725	NA
ENSTBEG00000000476	5.2255845	3.26231675	NA
ENSTBEG00000000477	0	0	NA
ENSTBEG00000000478	8.329264	6.0859145	NA
ENSTBEG00000000479	0	0.028179775	NA
ENSTBEG00000000480	0.17895895	0	NA
ENSTBEG00000000481	2.0410275	0.2983186275	NA
ENSTBEG00000000482	6.5717415	1.256068975	NA
ENSTBEG00000000483	0.87886615	0.013060077	NA
ENSTBEG00000000484	3.685026	0.739707675	NA
ENSTBEG00000000485	9.117221	8.24259725	NA
ENSTBEG00000000486	5.4225725	2.47743375	NA
ENSTBEG00000000487	8.309669	7.97105425	NA
ENSTBEG00000000488	0	0	NA
ENSTBEG00000000489	3.772724	2.38965875	NA
ENSTBEG00000000490	5.5515555	8.09591975	NA
ENSTBEG00000000491	0.90274995	2.68116725	NA
ENSTBEG00000000492	2.0443105	5.74055	NA
ENSTBEG00000000493	5.802796	5.50465375	NA
ENSTBEG00000000494	2.8979505	1.96850225	NA
ENSTBEG00000000495	0.771926	1.474931125	NA
ENSTBEG00000000496	5.602948	4.88608025	NA
ENSTBEG00000000497	0	0	NA
ENSTBEG00000000498	1.547395	0.2930467	NA
ENSTBEG00000000499	0.0382999	0	NA
ENSTBEG00000000500	2.1861595	2.05671325	NA
ENSTBEG00000000501	0	0	NA
ENSTBEG00000000502	5.398263	4.63100075	NA
ENSTBEG00000000503	0	0	NA
ENSTBEG00000000504	5.3130565	1.53702075	NA
ENSTBEG00000000505	1.279705	0.514697575	NA
ENSTBEG00000000506	1.5450197	0	NA
ENSTBEG00000000507	3.2445525	0.4414684	NA
ENSTBEG00000000508	0	0	NA
ENSTBEG00000000509	1.21138295	1.3625812	NA
ENSTBEG00000000510	3.2222905	4.03554875	NA
ENSTBEG00000000511	0.22651275	0	NA
ENSTBEG00000000512	0.15032255	0.098360925	NA
ENSTBEG00000000513	0	0.0057064625	NA
ENSTBEG00000000514	0	0.921906175	NA
ENSTBEG00000000515	3.506094	1.25377965	NA
ENSTBEG00000000516	0.385318	0	NA
ENSTBEG00000000517	4.132603	3.04259125	NA
ENSTBEG00000000518	0	0	NA
ENSTBEG00000000519	0.569392835	5.6170475	NA
ENSTBEG00000000520	0	0	NA
ENSTBEG00000000521	6.305916	4.47730025	NA
ENSTBEG00000000522	6.4499105	3.195641	NA
ENSTBEG00000000523	1.602066	1.356643175	NA
ENSTBEG00000000524	6.380085	5.06752775	NA
ENSTBEG00000000525	5.8811255	3.97400625	NA
ENSTBEG00000000526	0.27390455	0.077281605	NA
ENSTBEG00000000527	0.56503485	0	NA
ENSTBEG00000000528	0	0	NA
ENSTBEG00000000529	0	0	NA
ENSTBEG00000000530	3.235632	0.153957175	NA
ENSTBEG00000000531	2.3283485	1.726779	NA
ENSTBEG00000000532	0	0.1138796825	NA
ENSTBEG00000000533	6.457329	0.45064385	NA
ENSTBEG00000000534	1.270947	0.2096657725	NA
ENSTBEG00000000535	0	0	NA
ENSTBEG00000000536	1.9282215	7.0440565	NA
ENSTBEG00000000537	4.1089815	1.7316445	NA
ENSTBEG00000000538	5.939187	0.502118275	NA
ENSTBEG00000000539	6.4108155	6.35760925	NA
ENSTBEG00000000540	0.16392136	1.97153375	NA
ENSTBEG00000000541	5.1912815	2.583374	NA
ENSTBEG00000000542	3.314062	1.107647875	NA
ENSTBEG00000000543	3.219913	1.1375401	NA
ENSTBEG00000000544	0.1885291	1.08240025	NA
ENSTBEG00000000545	4.4775755	2.76886875	NA
ENSTBEG00000000546	1.231287	2.80547025	NA
ENSTBEG00000000547	0.30064405	1.6967295	NA
ENSTBEG00000000548	3.442087	0.0151393825	NA
ENSTBEG00000000549	0	0	NA
ENSTBEG00000000550	2.195298	1.627302075	NA
ENSTBEG00000000551	0.5378485	0.1014175	NA
ENSTBEG00000000552	0	0.10497505	NA
ENSTBEG00000000553	2.827839	0.11592021	NA
ENSTBEG00000000554	5.4597805	1.275830475	NA
ENSTBEG00000000555	7.09829	0.049056375	NA
