heart	kidney	liver	testis
ENSPPAG00000002015	0.48500305	3.8515187825	0	0.5907045
ENSPPAG00000002018	0	0	0.7901359	0
ENSPPAG00000002027	4.697859	6.5597813155	4.7814855	7.904243
ENSPPAG00000002032	1.480316	2.8938554615	2.222793	3.659571
ENSPPAG00000002033	0	0	0	0
ENSPPAG00000002058	1.52195455	2.0765013755	2.8045775	5.123463
ENSPPAG00000002070	0.006877595	0	0.1430301	1.723991
ENSPPAG00000002074	2.834879	4.087428928	3.1794335	1.889664
ENSPPAG00000002078	1.479909	2.126374515	1.7788115	2.733693
ENSPPAG00000002083	0	0	0	0
ENSPPAG00000002103	0	0	0	1.43662
ENSPPAG00000002104	3.679013	4.262151165	6.684666	4.094047
ENSPPAG00000002105	4.709542	3.6679551475	3.486135	3.759571
ENSPPAG00000002106	0.06982615	0	0.05675335	0
ENSPPAG00000002110	2.6377235	1.320907449	0.9858567	1.114214
ENSPPAG00000002112	4.5577155	4.433341258	0.61602325	2.769164
ENSPPAG00000002115	0.048905775	0	0	0
ENSPPAG00000002116	2.723363	3.768023339	3.221362	3.369215
ENSPPAG00000002119	0	0	0	1.699134
ENSPPAG00000002120	0.026828095	0.05800235	0.1993481	0.3999345
ENSPPAG00000002124	2.380285	2.935302545	3.1027765	4.375373
ENSPPAG00000002125	2.3093815	2.868705194	1.1774995	4.859701
ENSPPAG00000002127	2.136393	2.4322847265	1.4280445	3.57959
ENSPPAG00000002141	4.9164465	3.7278162205	2.5233465	6.600331
ENSPPAG00000002142	2.2696285	1.4326194855	1.0430375	5.775193
ENSPPAG00000002143	0	0.110842664	0.21863075	5.684833
ENSPPAG00000002155	3.6140755	3.759017078	3.650171	3.766618
ENSPPAG00000002156	1.559544	1.9053309005	1.06007445	4.429213
ENSPPAG00000002157	0	0	0	0
ENSPPAG00000002158	1.2578085	1.7215683565	2.459751	2.267337
ENSPPAG00000002161	3.075441	4.311940844	4.0002355	3.431638
ENSPPAG00000002164	0.18086685	0.1915239065	0.3522886	2.042256
ENSPPAG00000002165	2.342429	2.055802081	1.4844055	3.097124
ENSPPAG00000002166	0.1555001	0.175404086	0.2585814	2.070382
ENSPPAG00000002167	3.5111245	0.032666898	2.22752	3.486959
ENSPPAG00000002186	0.020539325	0.250701837	0.1405043	0.6151686
ENSPPAG00000002189	2.909284	4.086136293	2.1097695	3.458405
ENSPPAG00000002190	2.175018	2.192461185	2.5739005	5.427707
ENSPPAG00000002191	2.0795805	3.0607981	2.5245195	1.150176
ENSPPAG00000002204	2.111469	2.195807301	2.489805	3.853187
ENSPPAG00000002207	0.69010165	0.865948425	0.75855685	2.757119
ENSPPAG00000002209	2.1381165	2.4575878235	2.676554	4.377622
ENSPPAG00000002222	0	2.2322309235	0	1.583081
ENSPPAG00000002226	3.0434055	3.143613836	3.162764	4.688259
ENSPPAG00000002254	0	0	0	0
ENSPPAG00000002265	1.5096258	2.004635837	0.9978426	0
ENSPPAG00000002297	1.38904005	0.1322865215	0.5002461	1.078578
ENSPPAG00000002307	0.251837445	2.6888125575	1.394032	0.6661085
ENSPPAG00000002308	0	0	0	0
ENSPPAG00000002315	1.39234015	1.8404750375	2.0151825	1.452613
ENSPPAG00000002317	1.389509	2.381856216	1.169952	3.091932
ENSPPAG00000002319	0	0.827281928	0.2595218	1.024398
ENSPPAG00000002341	0	0.350261141	0.7351537	0
ENSPPAG00000002342	3.106338	5.901201519	3.470423	1.092586
ENSPPAG00000002344	3.1984295	4.530813711	4.9539145	5.266292
ENSPPAG00000002345	4.22681	3.623370043	7.3965775	3.563179
ENSPPAG00000002367	0	0.022871268	0.017648945	0
ENSPPAG00000002371	0	0	0	0
ENSPPAG00000002372	0	1.538129837	0	0
ENSPPAG00000002373	0.0678417	0.122895204	0	0
ENSPPAG00000002375	5.258576	5.4138210475	4.1370945	1.14051
ENSPPAG00000002376	0.73592215	1.1299489725	0.77491785	1.730614
ENSPPAG00000002404	0	0	0	4.297397
ENSPPAG00000002439	0	0.3038737	0	0
ENSPPAG00000002445	0.0510465	0.6305916885	0	4.203573
ENSPPAG00000002449	0	0	0	0
ENSPPAG00000002451	2.472163	4.014202834	2.7398315	4.199492
ENSPPAG00000002478	0	0	0	1.061825
ENSPPAG00000002479	1.1560525	2.7529176865	2.775286	1.61146
