brain	heart	kidney	liver	testis
ENSMFAG00000000291	0.05225235	10.99707	0.907079	0.01587259	2.44402
ENSMFAG00000000292	5.5190215	3.957031	5.283964	4.1441088	6.600305
ENSMFAG00000000293	5.0822435	5.873479	5.6793502	4.745116	5.310151
ENSMFAG00000000294	0.0354714	3.443937	2.798302	0.76719648	3.00766
ENSMFAG00000000295	0	0.057144385	2.8932034	0.007196302	2.291226
ENSMFAG00000000296	0.42557315	3.15727	2.04569146	1.94902018	1.063281
ENSMFAG00000000297	0.05543715	0	0.73277622	0.17770728	0.3040063
ENSMFAG00000000298	0.866154	0	2.0535108	1.1396066	2.84561
ENSMFAG00000000299	1.4832635	0	0	0.0424115	0.1554164
ENSMFAG00000000300	0.2478394	0.4379399	0.47298454	0.18025868	0
ENSMFAG00000000301	1.0007002	0.6512483	0.92595398	0.39522962	1.78591
ENSMFAG00000000302	6.870489	7.14746	7.4664488	5.6908928	7.792868
ENSMFAG00000000303	3.410603	4.0735975	3.1657594	2.6980366	4.982447
ENSMFAG00000000304	4.592201	0.96774515	8.290773	4.1494314	3.026143
ENSMFAG00000000305	3.949594	5.711534	5.0670906	3.5260902	6.537144
ENSMFAG00000000306	0.5663371	0.6609089	0.509033878	0.115037402	0.2160177
ENSMFAG00000000307	4.878361	5.008416	5.181163	3.8721174	5.884881
ENSMFAG00000000308	0	0.025690435	0.030625332	0.013940158	7.307283
ENSMFAG00000000309	5.366303	3.8390575	4.2265774	3.0359134	6.642356
ENSMFAG00000000310	0.027485	0.020195075	3.9034476	0.02145648	0.1792932
ENSMFAG00000000311	0.7310614	1.5330645	1.51728014	1.41733498	1.419852
ENSMFAG00000000312	3.1138745	0.05466615	1.85526054	0.033643606	2.4802
ENSMFAG00000000313	0	0.22868155	0	0	4.704795
ENSMFAG00000000314	0.24612545	1.625351	2.35628842	0.30123618	0.6158165
ENSMFAG00000000315	0.9801743	2.4197645	5.9607436	1.78892812	3.917842
ENSMFAG00000000316	3.0789355	0.1728392	0.104641938	0.055992798	0.1633944
ENSMFAG00000000317	1.57075	1.2982035	3.9489662	0.806875	1.899898
ENSMFAG00000000318	6.469703	0.8724125	4.273209	0.5723495	1.31366
ENSMFAG00000000319	1.762293	3.2556655	3.3835812	2.0351028	1.75803
ENSMFAG00000000320	3.001315	3.596926	4.9006136	4.1582234	4.261953
ENSMFAG00000000321	2.0272165	3.73077	3.0022494	3.1176382	3.202259
ENSMFAG00000000322	0.0884333	0.07670875	0.21866854	0.1031530261448	0.9633631
ENSMFAG00000000323	0.28822795	8.7479665	0.179851344	0.025447156	1.315242
ENSMFAG00000000324	0.08529455	0.058301155	0.37022514	0.102372126	0.537954
ENSMFAG00000000325	0.56730385	4.7800665	1.2505474	0.378488	3.710606
ENSMFAG00000000326	1.0519482	2.356371	3.8090728	2.6912346	2.247732
ENSMFAG00000000327	5.145248	5.145531	3.6703568	2.2862292	6.417611
ENSMFAG00000000328	4.59347	3.3802785	0.34446498	0.1089565	6.062612
ENSMFAG00000000329	4.990281	2.6993645	3.8832542	5.2183388	4.114431
ENSMFAG00000000330	0.06976685	0.10197895	0.120053	0.08838948	1.090745
ENSMFAG00000000331	1.38338785	2.316452	1.8214019	1.01164218	6.156892
ENSMFAG00000000332	0.91082025	0.3667029	0.89474108	0.8435191	1.06491
ENSMFAG00000000333	0.9292858	2.8353915	2.8382848	1.75773066	0.7902457
ENSMFAG00000000334	2.504112	4.2278335	3.8702836	2.55043688	4.194909
ENSMFAG00000000335	0	3.070133	4.1326566	4.0582636	5.808177
ENSMFAG00000000336	0.5290701	1.7683345	1.96438168	0.98400866	1.016553
ENSMFAG00000000337	3.7032905	3.2504695	1.4691046	1.8896238	0.8528602
ENSMFAG00000000338	5.144569	2.639544	4.5066194	0.9417667	2.3015
ENSMFAG00000000339	0.06400297	0.1820725	0.215640658	3.9695708	0.4113156
ENSMFAG00000000340	0	0	0	0.021091	0
ENSMFAG00000000341	3.2292025	5.446541	5.474283	5.1786478	4.328773
ENSMFAG00000000342	3.137076	6.3012145	4.8809056	4.5554604	3.431848
ENSMFAG00000000343	0	0	0.13381624	0.0365987	0.371115
ENSMFAG00000000344	0.76472745	2.6963405	8.8691638	8.8101732	1.327555
ENSMFAG00000000345	3.9302235	5.5333095	5.9166246	5.1655064	5.47203
ENSMFAG00000000346	2.708597	1.6824685	6.7181558	6.980752	1.514915
ENSMFAG00000000347	1.3650325	1.589099	2.6036446	1.39646074	1.145827
ENSMFAG00000000348	4.718563	8.6348115	3.9496556	4.8742626	1.190305
ENSMFAG00000000349	0.064236855	2.5463645	1.54446346	0.9203524	0.2927429
ENSMFAG00000000350	5.007784	7.9068755	7.1639444	5.6837096	7.244048
