brain	heart	kidney	liver	ovary
ENSSBOG00000002510	6.667115517	0.06819105	0.3975451	0	0.61493779
ENSSBOG00000002533	3.660255519	2.924873	3.374785	3.095995287	3.47113542
ENSSBOG00000002537	1.946932936	0.8024952	1.868343	0.504808502	1.8976238
ENSSBOG00000002550	0	0.7238102	2.124517	0.760652732	0
ENSSBOG00000002551	3.22306832	0.2025619	1.835145	2.607541243	1.96661928
ENSSBOG00000002583	5.622978947	0	0.1487041	0.129606804	1.34389385
ENSSBOG00000002584	5.162799355	3.907563	4.398116	4.611721255	6.96393264
ENSSBOG00000002599	0	0	4.902691	7.297619722	2.11433371
ENSSBOG00000002601	3.303408156	2.973674	4.041865	2.740277824	4.57144018
ENSSBOG00000002613	2.0062754	1.947019	2.478177	1.758005481	3.83594832
ENSSBOG00000002632	3.6397016	1.818032	3.105392	1.509168524	1.6623879
ENSSBOG00000002633	1.098931539	1.611909	2.429265	0.969118433	2.83133613
ENSSBOG00000002634	3.402351088	0.2577445	2.570516	1.626868961	3.6444793
ENSSBOG00000002650	4.865931975	2.941325	3.426464	2.449721653	4.0304769
ENSSBOG00000002690	0.733469752	0.9068013	4.983615	3.189565246	5.17626492
ENSSBOG00000002712	4.752331134	2.74488	5.262305	6.603509144	5.76296
ENSSBOG00000002716	5.267509581	4.445753	4.76228	3.834215672	6.36321314
ENSSBOG00000002727	0.203114005	0	0.9478636	0	0
ENSSBOG00000002733	3.524453642	2.91896	4.990759	4.280836826	4.69363337
ENSSBOG00000002740	0.557048789	0.1929491	2.781833	0.535065859	2.56445134
ENSSBOG00000002752	5.614707489	4.99297	5.640051	5.241461922	6.83722525
ENSSBOG00000002783	1.895482171	0.5024681	1.493666	0.818793801	2.23145146
ENSSBOG00000002808	5.157185223	5.443391	6.142068	5.025290193	5.670322
ENSSBOG00000002809	6.893627959	6.55699	5.126681	4.32224978	4.26525535
ENSSBOG00000002810	0	0	0	0.435417374	0.02951536
ENSSBOG00000002839	1.852646106	0.5988635	1.529341	10.153488699	1.77990264
ENSSBOG00000002840	1.437866901	0	0.5746305	0.177579795	3.56850644
ENSSBOG00000002841	4.904783685	6.179758	6.504097	6.200141978	7.08435271
ENSSBOG00000002844	0	0	0	0	0
ENSSBOG00000002897	0.090879575	0.1122623	0.138859	0	0.32976197
ENSSBOG00000002898	6.473227824	1.164022	3.525937	0.571807751	5.58734999
ENSSBOG00000002914	4.278847132	3.049754	3.757247	3.414564488	4.44919818
ENSSBOG00000002930	0.898345049	0.3835269	0.9402091	0.588463517	0.82776579
ENSSBOG00000002931	5.435980225	4.074262	4.074571	3.117355105	5.05582882
ENSSBOG00000002932	0	0	0	0.760652732	0
ENSSBOG00000002949	3.379071946	2.321309	3.176976	2.648204262	3.74134402
ENSSBOG00000002957	3.721689821	4.315668	6.848085	4.007141668	4.01412316
ENSSBOG00000002988	2.567664207	0.1210791	0.7337235	0.020329235	4.93059401
ENSSBOG00000002999	5.809634639	4.881406	4.366275	3.89938061	5.58976259
ENSSBOG00000003000	3.425369335	1.165359	2.588896	1.581168036	3.66114417
ENSSBOG00000003024	2.473955714	0.4673515	1.36279	0.363821475	2.21221757
ENSSBOG00000003037	3.963252154	4.251492	4.272501	4.086826218	3.90130136
ENSSBOG00000003059	0.567019673	0.4518351	0.4562899	0	4.37210935
ENSSBOG00000003071	1.606712264	0	0	0	0
ENSSBOG00000003072	3.719309301	3.173638	3.633395	2.660893258	4.64064175
ENSSBOG00000003075	2.180497987	0	0.2332414	2.882989255	0.56143759
ENSSBOG00000003076	2.298174404	0.1290359	0.2196598	0.123205705	0.75595833
ENSSBOG00000003084	1.48852015	0.436697	1.618707	0.034982648	3.98220872
ENSSBOG00000003087	5.299067901	3.303062	4.434686	2.858076309	4.65420346
ENSSBOG00000003103	1.055903637	0.09859715	0.1272309	0	0.44601267
ENSSBOG00000003118	6.913727173	0	0	0.087625093	0
ENSSBOG00000003134	5.289377097	7.121989	10.29426	3.424613098	6.38395998
ENSSBOG00000003135	0	0	0.5360161	0.446116454	1.1638658
ENSSBOG00000003143	1.631565498	1.752753	1.823631	0.996066183	3.29202929
ENSSBOG00000003145	2.36208552	0.7923548	1.788004	4.499865017	2.63092029
